# Time(s)	M1_INC_Duty(%)	M1_INC_Duty(D)	M2_Fuzzy_Duty(%)	M2_Fuzzy_Duty(D)	M1_Pin(W)	M2_Pin(W)	Target_GMPP(W)
48.1957	31.00	0.3100	30.99	0.3099	132.44	140.37	142.53
48.3180	31.30	0.3130	30.98	0.3098	135.32	140.37	142.53
48.4404	31.50	0.3150	30.98	0.3098	136.04	140.37	142.53
48.5627	31.55	0.3155	30.98	0.3098	137.48	140.37	142.53
48.6850	31.50	0.3150	30.98	0.3098	138.93	140.37	142.53
48.8073	31.80	0.3180	30.98	0.3098	139.65	140.37	142.53
48.9297	32.00	0.3200	30.98	0.3098	139.65	140.37	142.53
49.0520	31.80	0.3180	30.98	0.3098	139.65	140.37	142.53
49.1743	32.00	0.3200	30.98	0.3098	139.65	140.37	142.53
49.2966	31.80	0.3180	30.98	0.3098	139.65	140.37	142.53
49.4190	31.50	0.3150	30.98	0.3098	138.93	140.37	142.53
49.5413	31.72	0.3172	30.98	0.3098	138.93	140.37	142.53
49.6636	31.50	0.3150	30.97	0.3097	136.76	140.26	142.53
49.7859	31.22	0.3122	30.96	0.3096	134.60	140.16	142.53
49.9083	31.00	0.3100	30.95	0.3095	131.72	140.06	142.53
50.0306	30.31	0.3031	30.94	0.3094	126.67	139.96	142.53
50.1529	30.00	0.3000	30.94	0.3094	125.95	139.85	142.53
50.2752	30.23	0.3023	30.96	0.3096	125.95	139.75	142.53
50.3976	30.00	0.3000	30.98	0.3098	125.95	140.18	142.53
50.5199	30.23	0.3023	31.02	0.3102	125.95	140.71	142.53
50.6422	30.50	0.3050	31.08	0.3108	128.11	141.23	142.53
50.7645	30.89	0.3089	31.13	0.3113	131.72	141.76	142.53
50.8869	31.50	0.3150	31.17	0.3117	135.32	142.29	142.53
51.0092	31.55	0.3155	31.20	0.3120	137.48	142.82	142.53
51.1315	31.50	0.3150	31.20	0.3120	137.48	143.35	142.53
51.2538	31.55	0.3155	31.19	0.3119	137.48	142.72	142.53
51.3761	31.50	0.3150	31.15	0.3115	137.48	142.09	142.53
51.4985	31.55	0.3155	31.10	0.3110	137.48	141.46	142.53
51.6208	31.50	0.3150	31.03	0.3103	136.76	140.82	142.53
51.7431	31.22	0.3122	30.97	0.3097	134.60	140.19	142.53
51.8654	31.00	0.3100	30.91	0.3091	133.88	139.56	142.53
51.9878	31.14	0.3114	30.87	0.3087	133.88	138.93	142.53
52.1101	31.00	0.3100	30.85	0.3085	133.88	138.93	142.53
52.2324	31.14	0.3114	30.84	0.3084	133.88	138.93	142.53
52.3547	31.00	0.3100	30.84	0.3084	133.88	138.93	142.53
52.4771	31.22	0.3122	30.85	0.3085	134.60	139.03	142.53
52.5994	31.50	0.3150	30.85	0.3085	135.32	139.13	142.53
52.7217	31.39	0.3139	30.87	0.3087	136.04	139.23	142.53
52.8440	31.50	0.3150	30.88	0.3088	136.04	139.34	142.53
52.9664	31.47	0.3147	30.89	0.3089	136.76	139.44	142.53
53.0887	31.50	0.3150	30.90	0.3090	136.76	139.54	142.53
53.2110	31.47	0.3147	30.90	0.3090	136.76	139.65	142.53
53.3333	31.50	0.3150	30.92	0.3092	137.48	139.65	142.53
53.4557	31.63	0.3163	30.94	0.3094	138.20	139.65	142.53
53.5780	31.50	0.3150	30.98	0.3098	138.20	140.18	142.53
53.7003	31.63	0.3163	31.01	0.3101	138.20	140.71	142.53
53.8226	31.50	0.3150	31.04	0.3104	138.93	141.23	142.53
53.9450	31.72	0.3172	31.06	0.3106	138.93	141.23	142.53
54.0673	32.00	0.3200	31.07	0.3107	139.65	141.23	142.53
54.1896	31.88	0.3188	31.06	0.3106	140.37	141.23	142.53
54.3119	31.50	0.3150	31.04	0.3104	138.20	141.23	142.53
54.4343	31.47	0.3147	31.01	0.3101	136.76	140.71	142.53
54.5566	31.50	0.3150	30.98	0.3098	135.32	140.18	142.53
54.6789	31.06	0.3106	30.94	0.3094	133.16	139.65	142.53
54.8012	31.00	0.3100	30.92	0.3092	133.16	139.65	142.53
54.9235	31.06	0.3106	30.91	0.3091	133.16	139.65	142.53
55.0459	31.00	0.3100	30.91	0.3091	131.00	139.65	142.53
55.1682	30.56	0.3056	30.91	0.3091	128.83	139.65	142.53
55.2905	30.00	0.3000	30.91	0.3091	125.95	139.65	142.53
55.4128	30.23	0.3023	30.91	0.3091	125.95	139.65	142.53
55.5352	30.00	0.3000	30.91	0.3091	125.95	139.65	142.53
55.6575	30.23	0.3023	30.92	0.3092	125.95	139.65	142.53
55.7798	30.50	0.3050	30.93	0.3093	126.67	139.85	142.53
55.9021	30.72	0.3072	30.95	0.3095	130.28	140.06	142.53
56.0245	31.00	0.3100	30.96	0.3096	132.44	140.16	142.53
56.1468	31.22	0.3122	30.97	0.3097	134.60	140.26	142.53
56.2691	31.50	0.3150	30.98	0.3098	136.04	140.37	142.53
56.3914	31.39	0.3139	30.99	0.3099	136.04	140.47	142.53
56.5138	31.50	0.3150	30.99	0.3099	136.04	140.57	142.53
56.6361	31.39	0.3139	30.99	0.3099	136.04	140.47	142.53
56.7584	31.00	0.3100	30.99	0.3099	134.60	140.37	142.53
56.8807	30.97	0.3097	30.99	0.3099	132.44	140.37	142.53
57.0031	30.50	0.3050	30.99	0.3099	130.28	140.37	142.53
57.1254	30.72	0.3072	31.00	0.3100	130.28	140.47	142.53
57.2477	30.50	0.3050	31.01	0.3101	130.28	140.57	142.53
57.3700	30.72	0.3072	31.02	0.3102	130.28	140.68	142.53
57.4924	30.50	0.3050	31.03	0.3103	130.28	140.78	142.53
57.6147	30.89	0.3089	31.05	0.3105	131.72	140.99	142.53
57.7370	31.00	0.3100	31.07	0.3107	133.16	141.19	142.53
57.8593	31.30	0.3130	31.09	0.3109	135.32	141.40	142.53
57.9817	31.50	0.3150	31.11	0.3111	136.04	141.50	142.53
58.1040	31.55	0.3155	31.13	0.3113	137.48	141.71	142.53
58.2263	31.50	0.3150	31.14	0.3114	138.20	141.91	142.53
58.3486	31.63	0.3163	31.16	0.3116	138.20	142.12	142.53
58.4709	31.50	0.3150	31.18	0.3118	138.93	142.22	142.53
58.5933	31.72	0.3172	31.19	0.3119	138.93	142.32	142.53
58.7156	31.50	0.3150	31.20	0.3120	138.93	142.43	142.53
58.8379	31.72	0.3172	31.20	0.3120	138.93	142.53	142.53
58.9602	32.00	0.3200	31.21	0.3121	140.37	142.53	142.53
59.0826	32.05	0.3205	31.21	0.3121	141.81	142.53	142.53
59.2049	32.00	0.3200	31.21	0.3121	142.53	142.65	142.53
59.3272	32.13	0.3213	31.22	0.3122	142.53	142.76	142.53
59.4495	32.00	0.3200	31.22	0.3122	142.53	142.88	142.53
59.5719	32.05	0.3205	31.22	0.3122	141.81	143.00	142.53
59.6942	32.00	0.3200	31.22	0.3122	141.09	143.12	142.53
59.8165	31.88	0.3188	31.23	0.3123	140.37	143.18	142.53
59.9388	31.50	0.3150	31.22	0.3122	138.20	143.18	142.53
60.0612	31.39	0.3139	31.22	0.3122	136.04	143.06	142.53
60.1835	31.00	0.3100	31.22	0.3122	133.16	142.94	142.53
60.3058	30.89	0.3089	31.21	0.3121	131.72	142.82	142.53
60.4281	30.50	0.3050	31.20	0.3120	129.55	142.60	142.53
60.5505	30.31	0.3031	31.19	0.3119	126.67	142.38	142.53
60.6728	30.00	0.3000	31.18	0.3118	125.95	142.22	142.53
60.7951	30.23	0.3023	31.17	0.3117	125.95	142.12	142.53
60.9174	30.00	0.3000	31.16	0.3116	125.23	142.02	142.53
61.0398	30.14	0.3014	31.15	0.3115	125.23	141.91	142.53
61.1621	30.00	0.3000	31.14	0.3114	125.23	141.81	142.53
61.2844	30.14	0.3014	31.12	0.3112	125.23	141.71	142.53
61.4067	30.00	0.3000	31.11	0.3111	125.23	141.60	142.53
61.5291	30.23	0.3023	31.10	0.3110	125.95	141.50	142.53
61.6514	30.50	0.3050	31.09	0.3109	128.11	141.40	142.53
61.7737	30.64	0.3064	31.08	0.3108	129.55	141.29	142.53
61.8960	31.00	0.3100	31.07	0.3107	133.16	141.19	142.53
62.0183	31.47	0.3147	31.06	0.3106	136.76	141.09	142.53
62.1407	31.50	0.3150	31.05	0.3105	138.20	140.99	142.53
62.2630	31.63	0.3163	31.04	0.3104	138.20	140.88	142.53
62.3853	31.50	0.3150	31.03	0.3103	138.20	140.78	142.53
62.5076	31.63	0.3163	31.02	0.3102	138.20	140.68	142.53
62.6300	31.50	0.3150	31.01	0.3101	136.76	140.57	142.53
62.7523	31.06	0.3106	31.00	0.3100	133.16	140.47	142.53
62.8746	30.50	0.3050	30.99	0.3099	130.28	140.37	142.53
62.9969	30.64	0.3064	30.99	0.3099	129.55	140.37	142.53
63.1193	30.50	0.3050	30.98	0.3098	128.83	140.37	142.53
63.2416	30.64	0.3064	30.98	0.3098	129.55	140.37	142.53
63.3639	30.50	0.3050	30.98	0.3098	129.55	140.37	142.53
63.4862	30.64	0.3064	30.98	0.3098	129.55	140.37	142.53
63.6086	30.50	0.3050	30.98	0.3098	129.55	140.37	142.53
63.7309	30.64	0.3064	30.98	0.3098	129.55	140.37	142.53
63.8532	30.50	0.3050	30.99	0.3099	130.28	140.37	142.53
63.9755	30.81	0.3081	30.99	0.3099	131.00	140.37	142.53
64.0979	31.00	0.3100	31.00	0.3100	131.72	140.47	142.53
64.2202	31.06	0.3106	31.01	0.3101	133.16	140.57	142.53
64.3425	31.50	0.3150	31.02	0.3102	135.32	140.68	142.53
64.4648	31.55	0.3155	31.03	0.3103	137.48	140.78	142.53
64.5872	32.00	0.3200	31.04	0.3104	139.65	140.88	142.53
64.7095	31.80	0.3180	31.04	0.3104	139.65	140.99	142.53
64.8318	32.00	0.3200	31.04	0.3104	139.65	140.99	142.53
64.9541	31.63	0.3163	31.04	0.3104	138.20	140.88	142.53
65.0765	31.50	0.3150	31.03	0.3103	138.20	140.78	142.53
65.1988	31.63	0.3163	31.02	0.3102	138.20	140.68	142.53
65.3211	31.50	0.3150	31.01	0.3101	136.76	140.57	142.53
65.4434	31.22	0.3122	31.00	0.3100	134.60	140.47	142.53
65.5657	31.00	0.3100	30.99	0.3099	131.00	140.37	142.53
65.6881	30.64	0.3064	30.99	0.3099	129.55	140.37	142.53
65.8104	30.50	0.3050	30.98	0.3098	127.39	140.37	142.53
65.9327	30.39	0.3039	30.98	0.3098	127.39	140.37	142.53
66.0550	30.50	0.3050	30.98	0.3098	127.39	140.37	142.53
66.1774	30.39	0.3039	30.99	0.3099	127.39	140.37	142.53
66.2997	30.50	0.3050	30.99	0.3099	128.11	140.37	142.53
66.4220	30.81	0.3081	31.00	0.3100	131.00	140.47	142.53
66.5443	31.00	0.3100	31.01	0.3101	132.44	140.57	142.53
66.6667	31.22	0.3122	31.02	0.3102	134.60	140.68	142.53
66.7890	31.50	0.3150	31.03	0.3103	135.32	140.78	142.53
66.9113	31.39	0.3139	31.04	0.3104	136.04	140.88	142.53
67.0336	31.50	0.3150	31.05	0.3105	136.76	140.99	142.53
67.1560	31.63	0.3163	31.07	0.3107	138.20	141.19	142.53
67.2783	31.50	0.3150	31.08	0.3108	138.93	141.29	142.53
67.4006	31.80	0.3180	31.09	0.3109	139.65	141.40	142.53
67.5229	32.00	0.3200	31.10	0.3110	140.37	141.50	142.53
67.6453	31.88	0.3188	31.11	0.3111	140.37	141.60	142.53
67.7676	32.00	0.3200	31.12	0.3112	141.09	141.71	142.53
67.8899	31.97	0.3197	31.13	0.3113	141.09	141.81	142.53
68.0122	32.00	0.3200	31.13	0.3113	140.37	141.81	142.53
68.1346	31.88	0.3188	31.12	0.3112	140.37	141.71	142.53
68.2569	32.00	0.3200	31.11	0.3111	140.37	141.60	142.53
68.3792	31.72	0.3172	31.10	0.3110	138.93	141.50	142.53
68.5015	31.50	0.3150	31.09	0.3109	137.48	141.40	142.53
68.6239	31.47	0.3147	31.08	0.3108	136.76	141.29	142.53
68.7462	31.50	0.3150	31.07	0.3107	136.04	141.19	142.53
68.8685	31.30	0.3130	31.07	0.3107	135.32	141.09	142.53
68.9908	31.50	0.3150	31.06	0.3106	135.32	141.09	142.53
69.1131	31.30	0.3130	31.06	0.3106	135.32	141.09	142.53
69.2355	31.50	0.3150	31.06	0.3106	135.32	141.09	142.53
69.3578	31.47	0.3147	31.06	0.3106	136.76	141.09	142.53
69.4801	32.00	0.3200	31.06	0.3106	139.65	141.09	142.53
69.6024	31.80	0.3180	31.06	0.3106	139.65	141.09	142.53
69.7248	32.00	0.3200	31.06	0.3106	139.65	141.09	142.53
69.8471	31.80	0.3180	31.06	0.3106	139.65	141.09	142.53
69.9694	31.50	0.3150	31.06	0.3106	138.20	141.09	142.53
70.0917	31.63	0.3163	31.05	0.3105	138.20	141.09	142.53
70.2141	31.50	0.3150	31.05	0.3105	138.20	140.99	142.53
70.3364	31.47	0.3147	31.04	0.3104	136.76	140.88	142.53
70.4587	31.00	0.3100	31.03	0.3103	131.72	140.78	142.53
70.5810	30.56	0.3056	31.02	0.3102	128.83	140.68	142.53
70.7034	30.00	0.3000	31.01	0.3101	125.23	140.57	142.53
70.8257	29.81	0.2981	31.00	0.3100	122.35	140.47	142.53
70.9480	29.50	0.2950	30.99	0.3099	118.02	140.37	142.53
71.0703	29.23	0.2923	30.99	0.3099	117.30	140.37	142.53
71.1927	29.00	0.2900	30.98	0.3098	117.30	140.37	142.53
71.3150	29.23	0.2923	30.98	0.3098	117.30	140.37	142.53
71.4373	29.00	0.2900	30.98	0.3098	117.30	140.37	142.53
71.5596	29.56	0.2956	30.98	0.3098	120.18	140.37	142.53
71.6820	30.00	0.3000	30.98	0.3098	123.79	140.37	142.53
71.8043	30.47	0.3047	30.98	0.3098	128.11	140.37	142.53
71.9266	30.50	0.3050	30.98	0.3098	129.55	140.37	142.53
72.0489	31.39	0.3139	30.98	0.3098	136.04	140.37	142.53
72.1713	31.50	0.3150	30.98	0.3098	138.93	140.37	142.53
72.2936	31.72	0.3172	30.98	0.3098	138.93	140.37	142.53
72.4159	31.50	0.3150	30.98	0.3098	138.93	140.37	142.53
72.5382	31.72	0.3172	30.98	0.3098	138.93	140.37	142.53
72.6606	31.50	0.3150	30.99	0.3099	136.76	140.37	142.53
72.7829	31.22	0.3122	30.99	0.3099	134.60	140.37	142.53
72.9052	31.00	0.3100	31.00	0.3100	133.16	140.47	142.53
73.0275	31.06	0.3106	31.01	0.3101	133.16	140.57	142.53
73.1498	31.00	0.3100	31.02	0.3102	133.16	140.68	142.53
73.2722	31.06	0.3106	31.05	0.3105	133.16	140.78	142.53
73.3945	31.50	0.3150	31.07	0.3107	135.32	141.21	142.53
73.5168	31.80	0.3180	31.10	0.3110	139.65	141.63	142.53
73.6391	32.00	0.3200	31.13	0.3113	139.65	141.84	142.53
73.7615	31.80	0.3180	31.14	0.3114	139.65	141.94	142.53
73.8838	32.00	0.3200	31.15	0.3115	139.65	142.04	142.53
74.0061	31.80	0.3180	31.15	0.3115	139.65	142.04	142.53
74.1284	31.50	0.3150	31.14	0.3114	137.48	142.04	142.53
74.2508	31.39	0.3139	31.13	0.3113	136.04	141.72	142.53
74.3731	31.00	0.3100	31.11	0.3111	133.16	141.40	142.53
74.4954	31.06	0.3106	31.10	0.3110	133.16	141.40	142.53
74.6177	31.00	0.3100	31.09	0.3109	133.16	141.40	142.53
74.7401	31.14	0.3114	31.10	0.3110	133.88	141.40	142.53
74.8624	31.50	0.3150	31.11	0.3111	135.32	141.50	142.53
74.9847	31.47	0.3147	31.13	0.3113	136.76	141.60	142.53
75.1070	32.00	0.3200	31.15	0.3115	139.65	141.93	142.53
75.2294	31.97	0.3197	31.16	0.3116	141.09	142.25	142.53
75.3517	32.00	0.3200	31.17	0.3117	141.09	142.25	142.53
75.4740	31.80	0.3180	31.18	0.3118	139.65	142.25	142.53
75.5963	32.00	0.3200	31.18	0.3118	139.65	142.25	142.53
75.7187	31.80	0.3180	31.18	0.3118	139.65	142.25	142.53
75.8410	31.50	0.3150	31.17	0.3117	137.48	142.25	142.53
75.9633	31.47	0.3147	31.16	0.3116	136.76	142.03	142.53
76.0856	31.00	0.3100	31.16	0.3116	133.16	141.81	142.53
76.2080	31.06	0.3106	31.15	0.3115	133.16	141.91	142.53
76.3303	30.50	0.3050	31.16	0.3116	130.28	142.02	142.53
76.4526	30.56	0.3056	31.17	0.3117	128.83	142.12	142.53
76.5749	30.50	0.3050	31.18	0.3118	126.67	142.22	142.53
76.6972	30.14	0.3014	31.19	0.3119	125.23	142.32	142.53
76.8196	30.00	0.3000	31.20	0.3120	123.79	142.43	142.53
76.9419	29.98	0.2998	31.20	0.3120	123.79	142.53	142.53
77.0642	30.00	0.3000	31.21	0.3121	123.79	142.53	142.53
77.1865	30.06	0.3006	31.21	0.3121	124.51	142.59	142.53
77.3089	30.50	0.3050	31.21	0.3121	126.67	142.65	142.53
77.4312	30.64	0.3064	31.22	0.3122	129.55	142.76	142.53
77.5535	31.00	0.3100	31.22	0.3122	131.00	142.88	142.53
77.6758	31.30	0.3130	31.22	0.3122	135.32	143.00	142.53
77.7982	31.50	0.3150	31.23	0.3123	138.20	143.12	142.53
77.9205	31.97	0.3197	31.23	0.3123	141.09	143.23	142.53
78.0428	32.00	0.3200	31.23	0.3123	141.09	143.29	142.53
78.1651	31.97	0.3197	31.23	0.3123	141.09	143.35	142.53
78.2875	32.00	0.3200	31.23	0.3123	141.09	143.35	142.53
78.4098	31.97	0.3197	31.23	0.3123	141.09	143.35	142.53
78.5321	32.00	0.3200	31.23	0.3123	141.09	143.35	142.53
78.6544	31.97	0.3197	31.23	0.3123	141.09	143.35	142.53
78.7768	32.00	0.3200	31.23	0.3123	141.09	143.35	142.53
78.8991	31.97	0.3197	31.23	0.3123	141.09	143.35	142.53
79.0214	32.00	0.3200	31.23	0.3123	141.09	143.35	142.53
79.1437	31.88	0.3188	31.23	0.3123	140.37	143.35	142.53
79.2661	31.50	0.3150	31.23	0.3123	138.20	143.35	142.53
79.3884	31.47	0.3147	31.23	0.3123	136.76	143.35	142.53
79.5107	31.00	0.3100	31.23	0.3123	133.88	143.35	142.53
79.6330	30.81	0.3081	31.23	0.3123	131.00	143.35	142.53
79.7554	30.50	0.3050	31.23	0.3123	129.55	143.35	142.53
79.8777	30.56	0.3056	31.23	0.3123	128.83	143.35	142.53
80.0000	30.50	0.3050	31.23	0.3123	127.39	143.35	142.53
80.1223	30.06	0.3006	31.23	0.3123	124.51	143.35	142.53
80.2446	30.00	0.3000	31.23	0.3123	123.79	143.35	142.53
80.3670	29.98	0.2998	31.23	0.3123	123.79	143.35	142.53
80.4893	30.00	0.3000	31.23	0.3123	123.79	143.35	142.53
80.6116	29.98	0.2998	31.23	0.3123	123.79	143.35	142.53
80.7339	30.00	0.3000	31.23	0.3123	125.95	143.35	142.53
80.8563	30.56	0.3056	31.23	0.3123	128.83	143.35	142.53
80.9786	31.00	0.3100	31.23	0.3123	132.44	143.35	142.53
81.1009	31.30	0.3130	31.23	0.3123	135.32	143.35	142.53
81.2232	31.50	0.3150	31.23	0.3123	136.04	143.35	142.53
81.3456	31.97	0.3197	31.23	0.3123	141.09	143.35	142.53
81.4679	32.00	0.3200	31.23	0.3123	141.09	143.35	142.53
81.5902	32.05	0.3205	31.23	0.3123	141.81	143.23	142.53
81.7125	32.00	0.3200	31.23	0.3123	141.09	143.12	142.53
81.8349	31.72	0.3172	31.22	0.3122	138.93	143.00	142.53
81.9572	31.50	0.3150	31.22	0.3122	136.76	142.88	142.53
82.0795	31.06	0.3106	31.22	0.3122	133.16	142.76	142.53
82.2018	31.00	0.3100	31.21	0.3121	131.00	142.65	142.53
82.3242	30.64	0.3064	31.21	0.3121	129.55	142.53	142.53
82.4465	30.50	0.3050	31.21	0.3121	129.55	142.53	142.53
82.5688	30.64	0.3064	31.21	0.3121	129.55	142.53	142.53
82.6911	30.50	0.3050	31.21	0.3121	129.55	142.53	142.53
82.8135	30.64	0.3064	31.21	0.3121	129.55	142.53	142.53
82.9358	31.00	0.3100	31.21	0.3121	131.72	142.53	142.53
83.0581	31.22	0.3122	31.21	0.3121	134.60	142.53	142.53
83.1804	31.50	0.3150	31.21	0.3121	136.76	142.65	142.53
83.3028	31.72	0.3172	31.22	0.3122	138.93	142.76	142.53
83.4251	32.00	0.3200	31.22	0.3122	140.37	142.88	142.53
83.5474	31.97	0.3197	31.22	0.3122	141.09	142.88	142.53
83.6697	32.00	0.3200	31.22	0.3122	141.09	142.88	142.53
83.7920	32.13	0.3213	31.22	0.3122	142.53	142.88	142.53
83.9144	32.00	0.3200	31.21	0.3121	141.81	142.78	142.53
84.0367	31.97	0.3197	31.20	0.3120	141.09	142.56	142.53
84.1590	31.50	0.3150	31.19	0.3119	138.93	142.34	142.53
84.2813	31.55	0.3155	31.17	0.3117	137.48	142.12	142.53
84.4037	31.50	0.3150	31.16	0.3116	136.76	142.02	142.53
84.5260	31.39	0.3139	31.15	0.3115	136.04	141.91	142.53
84.6483	31.50	0.3150	31.14	0.3114	135.32	141.81	142.53
84.7706	31.22	0.3122	31.14	0.3114	134.60	141.81	142.53
84.8930	31.00	0.3100	31.14	0.3114	134.60	141.81	142.53
